Provider,PlanID,PlanType,UtilityType,Contract,AvgMonthlyCost
sponsor energy,21666,variable-rate all,Electricity,no-term all,23.65
sponsor energy,21668,variable-rate all,Electricity,no-term all,23.65
sponsor energy,21669,variable-rate all,Electricity,no-term all,23.65
sponsor energy,21670,variable-rate all,Electricity,no-term all,23.65
energy for less,19968,fixed-rate all,NaturalGas,1-year all,24.61
energy for less,19967,fixed-rate all,NaturalGas,5-years-or-more all,24.63
empwr,6912,variable-rate all,Electricity,no-term all,24.69
orizon utilities,20733,variable-rate all,Electricity,no-term all,24.84
energy for less,10913,variable-rate all,NaturalGas,no-term all,24.87
rocky mountain community energy,12828,variable-rate all,Electricity,no-term all,24.88
activate energy,22919,fixed-rate all,NaturalGas,1-year all,24.91
shared value energy,19335,variable-rate all,Electricity,no-term all,25.24
adagio energy,532,variable-rate all,Electricity,no-term all,25.24
easymax by enmax energy corporation,22688,variable-rate all,Electricity,no-term all,25.31
peyakoskan energy,22738,variable-rate all,Electricity,no-term all,25.34
foothills energy co-op,5327,variable-rate all,Electricity,no-term all,25.38
solarmax power,644,variable-rate all,Electricity,no-term all,25.44
mountain view power,339,variable-rate all,Electricity,no-term all,25.56
camrose energy,724,variable-rate all,Electricity,no-term all,25.78
big rock power,625,variable-rate all,Electricity,no-term all,25.79
great canadian utilities,23655,variable-rate all,Electricity,no-term all,25.86
neon power,21659,variable-rate all,Electricity,no-term all,25.9
jade energy,19441,variable-rate all,Electricity,no-term all,25.94
spot power,307,variable-rate all,Electricity,no-term all,25.94
vector energy,503,variable-rate all,Electricity,no-term all,25.94
brighter futures energy inc.,5235,variable-rate all,Electricity,no-term all,25.94
headwaters utility,16060,variable-rate all,Electricity,no-term all,25.94
echo energy,762,variable-rate all,Electricity,no-term all,25.98
ridge utilities,10797,variable-rate all,Electricity,no-term all,25.98
acorn energy,444,variable-rate all,Electricity,no-term all,25.99
utilitynet,597,variable-rate all,Electricity,no-term all,25.99
airdrie energy,12220,variable-rate all,Electricity,no-term all,26.03
fluent utilities,789,variable-rate all,Electricity,no-term all,26.03
wetaskiwin power,12522,variable-rate all,Electricity,no-term all,26.07
sandstone energy,743,variable-rate all,Electricity,no-term all,26.12
direct energy,14178,variable-rate all,Electricity,1-year all,26.16
direct energy,14184,variable-rate all,Electricity,3-year-contract all,26.16
direct energy,14191,variable-rate all,Electricity,5-years-or-more all,26.16
bow valley power,326,variable-rate all,Electricity,no-term all,26.24
tassa energy,11232,variable-rate all,Electricity,no-term all,26.24
firefly utilities ,22629,variable-rate all,Electricity,no-term all,26.35
park power,675,variable-rate all,Electricity,no-term all,26.53
alberta utility source,10878,variable-rate all,Electricity,no-term all,26.53
get energy,421,variable-rate all,Electricity,no-term all,26.91
greenamp utilities,21641,variable-rate all,Electricity,no-term all,27.03
azgard energy,16042,variable-rate all,Electricity,no-term all,27.85
sundance power,20990,variable-rate all,Electricity,no-term all,27.85
ascend energy,14223,variable-rate all,Electricity,no-term all,27.89
utilities by kuby,21470,variable-rate all,Electricity,no-term all,27.94
regional energy,22893,fixed-rate all,NaturalGas,3-year-contract all,28.85
regional energy,19316,fixed-rate all,NaturalGas,5-years-or-more all,28.86
big energy,19328,fixed-rate all,NaturalGas,5-years-or-more all,28.9
altaconnect,12847,variable-rate all,Electricity,no-term all,29.16
altaconnect,19314,fixed-rate all,NaturalGas,1-year all,30.21
abode power,23912,promotional-rate all,Electricity,1-year all,30.64
big energy,10904,variable-rate all,Electricity,no-term all,30.64
guardian utilities,23798,variable-rate all,Electricity,no-term all,31.39
wholesale power,9246,variable-rate all,Electricity,no-term all,31.93
link energy,16865,variable-rate all,Electricity,no-term all,32.64
sponsor energy,21671,variable-rate all,Bundled,1-year all,33.67
sponsor energy,22616,variable-rate all,Bundled,4-year-contract all,33.67
sponsor energy,22615,variable-rate all,Bundled,5-years-or-more all,33.67
sponsor energy,22614,variable-rate all,Bundled,3-year-contract all,33.67
sponsor energy,22613,variable-rate all,Bundled,no-term all,33.67
direct energy,14183,variable-rate all,Bundled,3-year-contract all,33.7
direct energy,14190,variable-rate all,Bundled,5-years-or-more all,33.7
direct energy,14177,variable-rate all,Bundled,1-year all,33.7
atco energy,24458,variable-rate all,Electricity,3-year-contract all,34.2
atco energy,24457,variable-rate all,Electricity,2-year-contract all,34.2
atco energy,24459,variable-rate all,Electricity,5-years-or-more all,34.2
atco energy,24456,variable-rate all,Electricity,1-year all,34.2
guardian utilities,23799,variable-rate all,Electricity,no-term all,34.39
wholesale power,23819,variable-rate all,Electricity,no-term all,34.93
easymax by enmax energy corporation,22689,variable-rate all,Bundled,no-term all,35.34
easymax by enmax energy corporation,22686,combined-rate all,Bundled,3-year-contract all,35.55
easymax by enmax energy corporation,22687,combined-rate all,Bundled,5-years-or-more all,35.57
neon power,24333,promotional-rate all,Electricity,1-year all,35.89
utilitynet,23340,promotional-rate all,Electricity,1-year all,36.1
abode power,23919,variable-rate all,Electricity,no-term all,36.47
get energy,24130,promotional-rate all,Electricity,no-term all,37.07
guardian utilities,23800,variable-rate all,Electricity,no-term all,37.39
jade energy,23274,promotional-rate all,Electricity,no-term all,37.75
wholesale power,23820,variable-rate all,Electricity,no-term all,37.93
sundance power,23495,promotional-rate all,Electricity,1-year all,38.05
empwr,24089,promotional-rate all,Electricity,no-term all,38.22
empwr,24100,variable-rate all,Electricity,no-term all,38.22
airdrie energy,23997,promotional-rate all,Electricity,no-term all,38.22
brighter futures energy inc.,23937,promotional-rate all,Electricity,1-year all,38.26
rocky mountain community energy,24268,variable-rate all,Electricity,no-term all,38.32
rocky mountain community energy,24252,promotional-rate all,Electricity,no-term all,38.32
orizon utilities,24305,variable-rate all,Electricity,no-term all,38.32
orizon utilities,24295,promotional-rate all,Electricity,1-year all,38.32
energy for less,10912,variable-rate all,Electricity,no-term all,38.49
shared value energy,24193,promotional-rate all,Electricity,1-year all,38.72
adagio energy,24016,variable-rate all,Electricity,no-term all,38.72
shared value energy,24201,variable-rate all,Electricity,no-term all,38.72
adagio energy,24007,promotional-rate all,Electricity,1-year all,38.72
foothills energy co-op,24103,promotional-rate all,Electricity,no-term all,38.82
peyakoskan energy,23531,promotional-rate all,Electricity,1-year all,38.82
peyakoskan energy,23542,variable-rate all,Electricity,1-year all,38.82
foothills energy co-op,24113,variable-rate all,Electricity,no-term all,38.82
mountain view power,24213,promotional-rate all,Electricity,no-term all,38.96
mountain view power,24223,variable-rate all,Electricity,no-term all,38.96
solarmax power,24212,variable-rate all,Electricity,no-term all,38.97
solarmax power,24204,promotional-rate all,Electricity,no-term all,38.97
camrose energy,24076,variable-rate all,Electricity,no-term all,39.22
camrose energy,24066,promotional-rate all,Electricity,no-term all,39.22
big rock power,23922,promotional-rate all,Electricity,no-term all,39.27
big rock power,23934,variable-rate all,Electricity,no-term all,39.27
vector energy,24282,promotional-rate all,Electricity,1-year all,39.42
echo energy,24079,promotional-rate all,Electricity,no-term all,39.42
echo energy,24086,variable-rate all,Electricity,no-term all,39.42
headwaters utility,23269,variable-rate all,Electricity,no-term all,39.42
vector energy,24292,variable-rate all,Electricity,no-term all,39.42
